,Postal Code,City,Street,Latitude,Longitude
233,1402,København K,Nicolai Eigtveds Gade,55.672107778000054,12.586209668000038
234,1403,København K,Wilders Plads,55.67564500000003,12.593804839000029
235,1404,København K,Krøyers Plads,55.67567000000008,12.567560000000071
236,1405,København K,Grønlandske Handels Plads,55.67567000000008,12.567560000000071
237,1406,København K,Christianshavns Kanal,55.67541389400003,12.592688284000076
238,1407,København K,Bådsmandsstræde,55.67141500000008,12.59743706200004
239,1408,København K,Wildersgade,55.67227500000007,12.58869396700004
240,1409,København K,Knippelsbrogade,55.67342963400006,12.588185773000077
241,1410,København K,Christianshavns Torv,55.67213500000008,12.591137760000038
242,1411,København K,Langebrogade,55.67072500000006,12.583355742000037
243,1411,København K,Applebys Plads,55.67072500000006,12.583355742000037
244,1412,København K,Voldgården,55.670600000000036,12.585934018000046
245,1413,København K,Ved Kanalen,55.67058250500003,12.586741392000022
246,1414,København K,Overgaden neden Vandet,55.67170679100008,12.589146460000052
247,1415,København K,Overgaden oven Vandet,55.67445500000008,12.594845246000034
248,1416,København K,Sankt Annæ Gade,55.672076950000076,12.595204885000044
249,1417,København K,Mikkel Vibes Gade,55.67278212700006,12.592430591000038
250,1418,København K,Sofiegade,55.670885000000055,12.590939956000057
251,1419,København K,Store Søndervoldstræde,55.67043638900003,12.589000000000055
252,1420,København K,Dronningensgade,55.67191500000007,12.592151296000054
253,1421,København K,Lille Søndervoldstræde,55.67023000000006,12.588340000000073
254,1422,København K,Prinsessegade,55.67626362500005,12.600591654000027
255,1423,København K,Amagergade,55.67085000000003,12.592575651000061
256,1424,København K,Christianshavns Voldgade,55.67008000000004,12.590146846000039
257,1425,København K,Ved Volden,55.67187000000007,12.594415333000029
258,1426,København K,Voldboligerne,55.67241500000006,12.596575131000066
259,1427,København K,Brobergsgade,55.675320000000056,12.596514303000049
260,1428,København K,Andreas Bjørns Gade,55.67587000000003,12.597925450000048
261,1429,København K,Burmeistersgade,55.67529500000006,12.598111937000056
262,1430,København K,Bodenhoffs Plads,55.676055000000076,12.599962578000031
263,1431,København K,Islands Plads,55.67567000000008,12.567560000000071
264,1432,København K,William Wains Gade,55.693199666000055,12.615650000000073
265,1432,København K,Margretheholmsvej,55.693199666000055,12.615650000000073
266,1432,København K,Refshalevej,55.693199666000055,12.615650000000073
267,1433,København K,Christiansholms Ø,55.72036500000007,12.66623531600004
268,1433,København K,Quintus,55.72036500000007,12.66623531600004
269,1433,København K,Flakfortet,55.72036500000007,12.66623531600004
270,1433,København K,Lynetten,55.72036500000007,12.66623531600004
271,1433,København K,Margretheholm,55.72036500000007,12.66623531600004
272,1433,København K,Refshaleøen,55.72036500000007,12.66623531600004
273,1433,København K,Middelgrundsfortet,55.72036500000007,12.66623531600004
274,1434,København K,Danneskiold-Samsøes Allé,55.67762197300004,12.602745861000074
275,1435,København K,Philip de Langes Allé,55.68129927000007,12.603465000000028
276,1436,København K,Halvtolv,55.67681500000003,12.605385413000022
277,1436,København K,Kuglegården,55.67681500000003,12.605385413000022
278,1436,København K,Værftsbroen,55.67681500000003,12.605385413000022
279,1436,København K,Trangravsvej,55.67681500000003,12.605385413000022
280,1436,København K,Arsenalvej,55.67681500000003,12.605385413000022
281,1436,København K,Kuglegårdsvej,55.67681500000003,12.605385413000022
282,1436,København K,Søartillerivej,55.67681500000003,12.605385413000022
283,1437,København K,Kanonbådsvej,55.67927135200006,12.605890000000045
284,1437,København K,Masteskursvej,55.67927135200006,12.605890000000045
285,1437,København K,Bohlendachvej,55.67927135200006,12.605890000000045
286,1437,København K,Stibolts Kvarter,55.67927135200006,12.605890000000045
287,1437,København K,Takkelloftsvej,55.67927135200006,12.605890000000045
288,1437,København K,Theodor Christensens Plads,55.67927135200006,12.605890000000045
289,1437,København K,Hohlenbergs Kvarter,55.67927135200006,12.605890000000045
290,1437,København K,Krabbes Kvarter,55.67927135200006,12.605890000000045
291,1437,København K,Eik Skaløes Plads,55.67927135200006,12.605890000000045
292,1437,København K,Leo Mathisens Vej,55.67927135200006,12.605890000000045
293,1437,København K,Schifters Kvarter,55.67927135200006,12.605890000000045
294,1437,København K,Per Knutzons Vej,55.67927135200006,12.605890000000045
295,1437,København K,Fabrikmestervej,55.67927135200006,12.605890000000045
296,1437,København K,Galionsvej,55.67927135200006,12.605890000000045
297,1438,København K,Judichærs Kvarter,55.68201000000005,12.600828183000033
298,1438,København K,Benstrups Kvarter,55.68201000000005,12.600828183000033
299,1438,København K,Dokøvej,55.68201000000005,12.600828183000033
300,1438,København K,Judichærs Plads,55.68201000000005,12.600828183000033
301,1438,København K,Ekvipagemestervej,55.68201000000005,12.600828183000033
302,1438,København K,Orlogsværftvej,55.68201000000005,12.600828183000033
303,1439,København K,Kongebrovej,55.68689139700007,12.607420000000047
304,1439,København K,H.C. Sneedorffs Allé,55.68689139700007,12.607420000000047
305,1439,København K,A.H. Vedels Plads,55.68689139700007,12.607420000000047
306,1439,København K,Henrik Spans Vej,55.68689139700007,12.607420000000047
307,1439,København K,Takkeladsvej,55.68689139700007,12.607420000000047
308,1439,København K,Spanteloftvej,55.68689139700007,12.607420000000047
309,1439,København K,Henrik Gerners Plads,55.68689139700007,12.607420000000047
310,1439,København K,Krudtløbsvej,55.68689139700007,12.607420000000047
311,1439,København K,Bradbænken,55.68689139700007,12.607420000000047
312,1439,København K,Elefanten,55.68689139700007,12.607420000000047
313,1439,København K,Eskadrevej,55.68689139700007,12.607420000000047
314,1439,København K,P. Løvenørns Vej,55.68689139700007,12.607420000000047
315,1440,København K,Blå Karamel,55.67707000000007,12.609239337000076
316,1440,København K,Mælkevejen,55.67707000000007,12.609239337000076
317,1440,København K,Sydområdet,55.67707000000007,12.609239337000076
318,1440,København K,Psyak,55.67707000000007,12.609239337000076
319,1440,København K,Løvehuset,55.67707000000007,12.609239337000076
320,1440,København K,Tinghuset,55.67707000000007,12.609239337000076
321,1440,København K,Fredens Ark,55.67707000000007,12.609239337000076
322,1440,København K,Bjørnekloen,55.67707000000007,12.609239337000076
323,1440,København K,Fabriksområdet,55.67707000000007,12.609239337000076
324,1440,København K,Nordområdet,55.67707000000007,12.609239337000076
325,1440,København K,Mælkebøtten,55.67707000000007,12.609239337000076
326,1441,København K,Norddyssen,55.67662000000007,12.611608770000032
