Postal Code;City;Street
1622;Kobenhavn V;Boyesgade Ulige nr
1623;Kobenhavn V;Kingosgade 1-9 + 2-6
1624;Kobenhavn V;Brorsonsgade
1630;Kobenhavn V;Vesterbrogade 3
1631;Kobenhavn V;Herman Triers Plads
1632;Kobenhavn V;Julius Thomsens Gade Lige nr
1633;Kobenhavn V;Kleinsgade
1634;Kobenhavn V;Rosenorns Alle 2-18
1635;Kobenhavn V;Åboulevard 1-13
1640;Kobenhavn V;Dahlerupsgade 6
1650;Kobenhavn V;Istedgade
1651;Kobenhavn V;Reventlowsgade
1652;Kobenhavn V;Colbjornsensgade
1653;Kobenhavn V;Helgolandsgade
1654;Kobenhavn V;Abel Cathrines Gade
1655;Kobenhavn V;Viktoriagade
1656;Kobenhavn V;Gasværksvej
1657;Kobenhavn V;Eskildsgade
1658;Kobenhavn V;Absalonsgade
1659;Kobenhavn V;Svendsgade
1660;Kobenhavn V;Dannebrogsgade
1660;Kobenhavn V;Otto Krabbes Plads
1661;Kobenhavn V;Westend
1662;Kobenhavn V;Saxogade
1663;Kobenhavn V;Oehlenschlægersgade
1664;Kobenhavn V;Kaalundsgade
1665;Kobenhavn V;Valdemarsgade
1666;Kobenhavn V;Matthæusgade
1667;Kobenhavn V;Frederiksstadsgade
1668;Kobenhavn V;Mysundegade
1669;Kobenhavn V;Flensborggade
1670;Kobenhavn V;Enghave Plads
1671;Kobenhavn V;Tove Ditlevsens Plads
1671;Kobenhavn V;Haderslevgade
1672;Kobenhavn V;Broagergade
1673;Kobenhavn V;Ullerupgade
1674;Kobenhavn V;Enghavevej, til 79 + til 78
1675;Kobenhavn V;Kongshojgade
1676;Kobenhavn V;Sankelmarksgade
1677;Kobenhavn V;Gråstensgade
1699;Kobenhavn V;Staldgade
1700;Kobenhavn V;Halmtorvet
1701;Kobenhavn V;Reverdilsgade
1702;Kobenhavn V;Stampesgade
1703;Kobenhavn V;Lille Colbjornsensgade
1704;Kobenhavn V;Tietgensgade
1705;Kobenhavn V;Ingerslevsgade
1706;Kobenhavn V;Lille Istedgade
1707;Kobenhavn V;Maria Kirkeplads
1708;Kobenhavn V;Eriksgade
1709;Kobenhavn V;Skydebanegade
1710;Kobenhavn V;Kvægtorvsgade
1711;Kobenhavn V;Flæsketorvet
1712;Kobenhavn V;Hokerboderne
1713;Kobenhavn V;Kvægtorvet
1714;Kobenhavn V;Kodboderne
1715;Kobenhavn V;Slagtehusgade
1716;Kobenhavn V;Slagterboderne
